to_freeze_name,market_cap_rank,,Unnamed: 0,name,american_progress_list,market_cap,price,cik_str,ticker,title_searchable,title_confirmed,tech_or_non_tech,ten_k_document_link,actual_full_ten_k_document_link,most_recent_tax_benefits_from_stock_based_compensation_over_net_income,most_recent_tax_benefits_from_stock_based_compensation,tax_benefits_from_stock_based_compensation_2023,tax_benefits_from_stock_based_compensation_2022,tax_benefits_from_stock_based_compensation_2021,tax_benefits_from_stock_based_compensation_2020,tax_benefits_note,most_recent_stock_or_share_based_compensation,most_recent_stock_or_share_based_compensation_expounded,stock_or_share_based_compensation_end_of_2023,stock_or_share_based_compensation_end_of_2022,stock_or_share_based_compensation_end_of_2021,stock_or_share_based_compensation_end_of_2020,stock_notes,most_recent_tax_rates_low_or_above_ten,most_recent_tax_rates_low_or_above_ten_expounded,most_recent_tax_rates,most_recent_tax_rates_expounded,tax_rates_2023,tax_rates_2022,tax_rates_2021,tax_rates_2020,most_recent_net_income,most_recent_net_income_expounded,net_income_2023,net_income_2022,net_income_2021,net_income_2020,stock_based_compensation_as_a_portion_of_net_income
Boeing,56,55,55,Boeing,absent,$128.47 B,$213.31,12927,BA,BOEING CO,,non_tech_unsure,https://www.sec.gov//Archives/edgar/data/12927/000001292723000007/0000012927-23-000007-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/12927/000001292723000007/ba-20221231.htm,-4,178,,178,148,53,,725,725,,725,833,250,,low,low,-0.6,-0.6,,-0.6,14.8,18,"-5,053","-5,053",,"-5,053","-4,290","-11,941",-14
Intuit,57,56,56,Intuit,absent,$128.22 B,$457.84,896878,INTU,INTUIT INC.,,tech,https://www.sec.gov//Archives/edgar/data/896878/000089687822000028/0000896878-22-000028-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/896878/000089687822000028/intu-20220731.htm,19,396,,396,269,173,,1308,1308,,1308,753,435,,above_ten,above_ten,19,19,,19,19,,"2,066","2,066",,"2,066","2,062","1,826",63
S&P Global,58,57,57,S&P Global,absent,$128.19 B,$399.60,64040,SPGI,S&P Global Inc.,,tech,https://www.sec.gov//Archives/edgar/data/64040/000006404023000058/0000064040-23-000058-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/64040/000006404023000058/spgi-20221231.htm,1,38,,38,20,15,,214,214,,214,122,90,,above_ten,above_ten,25.1,25.1,,25.1,21.6,22,"3,522","3,522",,"3,522","3,263","2,534",6
Caterpillar,59,58,58,Caterpillar,absent,$126.41 B,$244.83,18230,CAT,CATERPILLAR INC,,non_tech_unsure,,https://www.sec.gov/ix?doc=/Archives/edgar/data/18230/000001823023000011/cat-20221231.htm,,32,,32,23,34,,-193,-193,,-193,-199,-202,,above_ten,above_ten,23.2,23.2,,23.2,22.9,,,unclear,,unclear,unclear,unclear,
ConocoPhillips,60,59,59,ConocoPhillips,absent,$125.87 B,$104.02,1163165,COP,CONOCOPHILLIPS,,non_tech_unsure,,https://www.sec.gov/ix?doc=/Archives/edgar/data/1163165/000116316523000006/cop-20221231.htm,1,95,,95,76,40,,377,377,,377,304,159,,,,,unclear,,unclear,unclear,unclear,"18,680","18,680",,"18,680","8,079","-2,701",2
Union Pacific Corporation,61,60,60,Union Pacific Corporation,absent,$124.32 B,$203.91,1512544,ITTOY,ITOCHU Techno-Solutions Corporation/ADR,,tech,,None?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBM,62,61,61,IBM,absent,$121.89 B,$134.24,51143,IBM,INTERNATIONAL BUSINESS MACHINES CORP,,tech,https://www.sec.gov//Archives/edgar/data/51143/000155837023002376/0001558370-23-002376-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/51143/000155837023002376/ibm-20221231x10k.htm,,,,,,,,,unclear,,unclear,unclear,unclear,,,,,unclear,,unclear,unclear,unclear,,unclear,,unclear,unclear,unclear,
Amgen,63,62,62,Amgen,absent,$120.69 B,$225.88,318154,AMGN,AMGEN INC,,tech,https://www.sec.gov//Archives/edgar/data/318154/000031815423000017/0000318154-23-000017-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/318154/000031815423000017/amgn-20221231.htm,1,86,,86,74,72,,401,401,,401,341,330,,above_ten,above_ten,10.8,10.8,,10.8,12.1,11,"6,552","6,552",,"6,552","5,893","7,264",6
Applied Materials,64,63,63,Applied Materials,absent,$119.46 B,$142.26,6951,AMAT,APPLIED MATERIALS INC /DE,,tech,https://www.sec.gov//Archives/edgar/data/6951/000000695122000043/0000006951-22-000043-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/6951/000000695122000043/amat-20221030.htm,1,51,,51,43,39,,413,413,,413,346,307,,,,,unclear,,unclear,unclear,unclear,"6,525","6,525",,"6,525","5,888","3,619",6
Deere & Company,65,64,64,Deere & Company,absent,$118.64 B,$404.66,315189,DE,DEERE & CO,,non_tech_unsure,https://www.sec.gov//Archives/edgar/data/315189/000155837022018703/0001558370-22-018703-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/315189/000155837022018703/de-20221030x10k.htm,0,17,,17,16,19,,85,85,,85,82,81,,,,,unclear,,unclear,unclear,unclear,"7,130","7,130",,"7,130","5,965","2,753",1
General Electric,66,65,65,General Electric,absent,$118.45 B,$108.65,40545,GE,GENERAL ELECTRIC CO,,tech,https://www.sec.gov//Archives/edgar/data/40545/000004054523000023/0000040545-23-000023-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/40545/000004054523000023/ge-20221231.htm,,,,,,,,362,362,,362,429,429,,above_ten,above_ten,33.7,33.7,,33.7,7.8,-8.2,249,249,,249,-123,327,145
Lockheed Martin,67,66,66,Lockheed Martin,absent,$117.19 B,$462.76,936468,LMT,LOCKHEED MARTIN CORP,,tech,https://www.sec.gov//Archives/edgar/data/936468/000093646823000009/0000936468-23-000009-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/936468/000093646823000009/lmt-20221231.htm,2,124,,124,67,63,,238,238,,238,227,221,,above_ten,above_ten,14.2,14.2,,14.2,16.4,,"5,732","5,732",,"5,732","6,315","6,833",4
Intuitive Surgical,68,67,67,Intuitive Surgical,absent,$116.99 B,$333.89,1035267,ISRG,INTUITIVE SURGICAL INC,,tech,https://www.sec.gov//Archives/edgar/data/1035267/000103526723000019/0001035267-23-000019-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/1035267/000103526723000019/isrg-20221231.htm,,,,,,,,513.2,513.2,,513.2,449.2,395.4,,above_ten,above_ten,16.3,16.3,,16.3,8.6,,"1,344.40","1,344.40",,"1,344.40","1,728.10","1,066.80",38
ServiceNow,69,68,68,ServiceNow,absent,$115.26 B,$565.76,1373715,NOW,"ServiceNow, Inc.",,tech,https://www.sec.gov//Archives/edgar/data/1373715/000137371523000035/0001373715-23-000035-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/1373715/000137371523000035/now-20221231.htm,,,,,,,,1401,1401,,1401,1131,870,,above_ten,above_ten,19,19,,19,8,,325,325,,325,230,119,431
AT&T,70,69,69,AT&T,present,$114.88 B,$16.07,732717,T,AT&T INC.,,tech,,https://www.sec.gov/ix?doc=/Archives/edgar/data/732717/000073271723000011/t-20221231.htm,-2,127,,127,110,104,,-162,-162,,-162,13,18,,low,low,-122.2,-122.2,,-122.2,18.5,-330,"-7,055","-7,055",,"-7,055","21,479","-3,821",2
Prologis,71,70,70,Prologis,absent,$114.50 B,$123.99,1045609,PLD,"Prologis, Inc.",,tech,https://www.sec.gov//Archives/edgar/data/1045609/000156459023001902/0001564590-23-001902-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/1045609/000156459023001902/pld-10k_20221231.htm,,,,,,,,,unclear,,,,,,,,,unclear,,unclear,unclear,unclear,"3,555","3,555",,"3,555","3,149","1,617",
Stryker Corporation,72,71,71,Stryker Corporation,absent,$112.88 B,$297.37,310764,SYK,STRYKER CORP,,tech,https://www.sec.gov//Archives/edgar/data/310764/000031076423000017/0000310764-23-000017-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/310764/000031076423000017/syk-20221231.htm,,,,,,,,168,168,,168,171,142,,above_ten,above_ten,12.1,12.1,,12.1,12.6,18,"2,358","2,358",,"2,358","1,994","1,599",7
Starbucks,73,72,72,Starbucks,absent,$112.87 B,$98.46,829224,SBUX,STARBUCKS CORP,,non_tech,,https://www.sec.gov/ix?doc=/Archives/edgar/data/829224/000082922422000058/sbux-20221002.htm,1,45.9,,45.9,51.6,47.8,,271.5,271.5,,271.5,319.1,248.6,,above_ten,above_ten,22.4,22.4,,22.4,21.6,,"3,283.40","3,283.40",,"3,283.40","4,200.30",925,8
Goldman Sachs,74,73,73,Goldman Sachs,absent,$106.39 B,$320.05,886982,GS,GOLDMAN SACHS GROUP INC,,non_tech,,https://www.sec.gov/ix?doc=/Archives/edgar/data/886982/000088698223000003/gs-20221231.htm,0,,,,,,,4083,4083,,4083,2348,1920,,above_ten,above_ten,16.5,16.5,,16.5,20,24,"11,261","11,261",,"11,261","21,635","9,459",36
Elevance Health,75,74,74,Elevance Health,absent,$105.02 B,$443.03,1156039,ELV,"Elevance Health, Inc.",,non_tech,,https://www.sec.gov/ix?doc=/Archives/edgar/data/1156039/000115603923000007/elv-20221231.htm,1,66,,66,65,74,,264,264,,264,255,283,,above_ten,above_ten,22.5,22.5,,22.5,23.1,27,"6,019","6,019",,"6,019","6,095","4,572",4
BlackRock,76,75,75,BlackRock,absent,$103.76 B,$692.83,1364742,BLK,BlackRock Inc.,,non_tech,https://www.sec.gov//Archives/edgar/data/1364742/000095017023004343/0000950170-23-004343-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/1364742/000095017023004343/blk-20221231.htm,0,,,,,,,708,708,,708,734,622,,above_ten,above_ten,20,20,,20,25,,"4,994","4,994",,"4,994","6,205","5,286",14
Charles Schwab,77,76,76,Charles Schwab,absent,$103.17 B,$56.69,316709,SCHW,SCHWAB CHARLES CORP,,non_tech,https://www.sec.gov//Archives/edgar/data/316709/000031670923000009/0000316709-23-000009-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/316709/000031670923000009/schw-20221231.htm,-1,-88,,-88,-60,-49,,366,366,,366,254,204,,above_ten,above_ten,23.5,23.5,,23.5,24.1,23,"7,183","7,183",,"7,183","5,855","3,299",5
Mondelez,78,77,77,Mondelez,absent,$99.71 B,$73.22,1103982,MDLZ,"Mondelez International, Inc.",,non_tech,https://www.sec.gov//Archives/edgar/data/1103982/000110398223000006/0001103982-23-000006-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/1103982/000110398223000006/mdlz-20221231.htm,0,3,,3,4,5,,120,120,,120,121,126,,above_ten,above_ten,26.8,26.8,,26.8,27.2,36,"2,984","2,984",,"2,984","2,614","2,078",4
Booking Holdings (Booking.com),79,78,78,Booking Holdings (Booking.com),absent,$98.76 B,"$2,674",1018724,,,,tech,https://www.sec.gov//Archives/edgar/data/1018724/000101872423000004/0001018724-23-000004-index.htm,https://www.sec.gov/ix?doc=/Archives/edgar/data/1075531/000107553123000016/bkng-20221231.htm,1,40,,40,37,30,,404,404,,404,376,255,,,,,unclear,,unclear,unclear,unclear,"3,058","3,058",,"3,058","1,165",59,13
TJX Companies,80,79,79,TJX Companies,absent,$97.34 B,$84.70,109198,TJX,TJX COMPANIES INC /DE/,,non_tech,https://www.sec.gov//Archives/edgar/data/109198/000010919823000004/0000109198-23-000004-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/109198/000010919823000004/tjx-20230128.htm,,,,,,,122,189,189,,189,59,,,above_ten,above_ten,24.5,24.5,24.5,25.4,,,"3,498","3,498",,"3,498",,90,5
Gilead Sciences,81,80,80,Gilead Sciences,absent,$96.76 B,$77.24,882095,GILD,"GILEAD SCIENCES, INC.",,non_tech,,https://www.sec.gov/ix?doc=/Archives/edgar/data/882095/000088209523000007/gild-20221231.htm,,,,,,,,637,637,,637,635,643,,above_ten,above_ten,21.5,21.5,,21.5,25.1,,"4,566","4,566",,"4,566","6,201",89,14
Analog Devices,82,81,81,Analog Devices,absent,$95.26 B,$190.00,6281,ADI,ANALOG DEVICES INC,,tech,https://www.sec.gov//Archives/edgar/data/6281/000000628122000250/0000006281-22-000250-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/6281/000000628122000250/adi-20221029.htm,,,,,,,,323,323,,323,243.611,149.518,,above_ten,above_ten,11.3,11.3,,11.3,-4.6,,"2,749","2,749",,"2,749","1,390","1,221",12
American Tower,83,82,82,American Tower,absent,$92.44 B,$198.36,1053507,AMT,AMERICAN TOWER CORP /MA/,,non_tech_unsure,https://www.sec.gov//Archives/edgar/data/1053507/000105350723000023/0001053507-23-000023-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/1053507/000105350723000023/amt-20221231.htm,,,,,,,,169.3,169.3,,169.3,119.5,120.8,,low,low,1.4,1.4,,1.4,9.3,,"1,696.70","1,696.70",,"1,696.70","2,567.60","1,691.50",10
Marsh & McLennan Companies,84,83,83,Marsh & McLennan Companies,absent,$92.03 B,$186.03,62709,MMC,"MARSH & MCLENNAN COMPANIES, INC.",,non_tech,https://www.sec.gov//Archives/edgar/data/62709/000006270923000014/0000062709-23-000014-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/62709/000006270923000014/mmc-20221231.htm,,,,,,,,,unclear,,unclear,unclear,unclear,,above_ten,above_ten,24.4,24.4,,24.4,24.6,,"3,087","3,087",,"3,087","3,174","2,046",
Automatic Data Processing,85,84,84,Automatic Data Processing,absent,$91.20 B,$219.70,8670,ADP,AUTOMATIC DATA PROCESSING INC,,tech,https://www.sec.gov//Archives/edgar/data/8670/000000867022000038/0000008670-22-000038-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/8670/000000867022000038/adp-20220630.htm,2,49.1,,49.1,43,32.2,,201.7,201.7,,201.7,175.3,130.8,,above_ten,above_ten,22.5,22.5,,22.5,22.7,,"2,948.90","2,948.90",,"2,948.90","2,598.50","2,466.50",7
Citigroup,86,85,85,Citigroup,absent,$91.10 B,$46.80,831001,C,CITIGROUP INC,,non_tech,https://www.sec.gov//Archives/edgar/data/831001/000083100123000037/0000831001-23-000037-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/831001/000083100123000037/c-20221231.htm,,,,,,,,,unclear,,unclear,unclear,unclear,,above_ten,above_ten,19.4,19.4,,19.4,19.8,,"14,845","14,845",,"14,845","21,952","11,047",
Vertex Pharmaceuticals,87,86,86,Vertex Pharmaceuticals,absent,$89.71 B,$348.32,875320,VRTX,VERTEX PHARMACEUTICALS INC / MA,,non_tech,https://www.sec.gov//Archives/edgar/data/875320/000087532023000007/0000875320-23-000007-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/875320/000087532023000007/vrtx-20221231.htm,,,,,,,,84,84,,84,77.3,85.6,,above_ten,above_ten,21.5,21.5,,21.5,14.2,,"3,322.00","3,322.00",,"3,322.00","2,342.10","2,711.70",3
CVS Health,88,87,87,CVS Health,absent,$89.21 B,$69.59,64803,CVS,CVS HEALTH Corp,,non_tech,https://www.sec.gov//Archives/edgar/data/64803/000006480323000009/0000064803-23-000009-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/64803/000006480323000009/cvs-20221231.htm,,,,,,,,447,447,,447,484,400,,above_ten,above_ten,26,26,,26,24.2,,"4,165","4,165",,"4,165","7,898","7,192",11
Uber,89,88,88,Uber,absent,$88.52 B,$43.66,1543151,UBER,"Uber Technologies, Inc",,tech,https://www.sec.gov//Archives/edgar/data/1543151/000154315123000010/0001543151-23-000010-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/1543151/000154315123000010/uber-20221231.htm,,,,,,,,"1,793","1,793",,"1,793","1,168",827,,low,low,1.9,1.9,,1.9,48,,"-6,788","-6,788",,"-6,788",-570,"-9,138",-26
Lam Research,90,89,89,Lam Research,absent,$84.44 B,$628.58,707549,LRCX,LAM RESEARCH CORP,,tech,https://www.sec.gov//Archives/edgar/data/707549/000070754922000107/0000707549-22-000107-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/707549/000070754922000107/lrcx-20220626.htm,,,,,,,,0,0,,0,0,0,,above_ten,above_ten,11.3,11.3,,11.3,10.6,13,5,5,,5,4,2,6
HCA Healthcare,91,90,90,HCA Healthcare,absent,$83.70 B,$298.35,860730,HCA,"HCA Healthcare, Inc.",,non_tech,https://www.sec.gov//Archives/edgar/data/860730/000095017023003234/0000950170-23-003234-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/860730/000095017023003234/hca-20221231.htm,,,,,,,,341,341,,341,440,362,,above_ten,above_ten,23.6,23.6,,23.6,23.3,,"6,834","6,834",,"6,834","7,721","4,387",5
Cigna,92,91,91,Cigna,absent,$83.06 B,$280.75,1739940,CI,Cigna Group,,non_tech,https://www.sec.gov//Archives/edgar/data/1739940/000173994023000008/0001739940-23-000008-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/1739940/000173994023000008/ci-20221231.htm,,,,,,,,264,264,,264,268,289,,above_ten,above_ten,19.2,19.2,,19.2,20.2,22,"6,746","6,746",,"6,746","5,415","8,489",4
Airbnb,93,92,92,Airbnb,absent,$82.99 B,$131.69,1559720,ABNB,"Airbnb, Inc.",,tech,,https://www.sec.gov/ix?doc=/Archives/edgar/data/1559720/000155972023000003/abnb-20221231.htm,2,39.9,,39.9,35.6,19,,930,930,,930,899,"3,003",,low,low,5,5,,5,-17,,"1,893","1,893",,"1,893",-352,,49
Altria Group,94,93,93,Altria Group,absent,$82.07 B,$45.98,764180,MO,"ALTRIA GROUP, INC.",,non_tech,https://www.sec.gov//Archives/edgar/data/764180/000076418023000020/0000764180-23-000020-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/764180/000076418023000020/mo-20221231.htm,,,,,,,,,unclear,,unclear,unclear,unclear,,above_ten,above_ten,22,22,,22,35.3,35,"5,764","5,764",,"5,764","2,475","4,454",
Palo Alto Networks,95,94,94,Palo Alto Networks,absent,$78.87 B,$257.88,1327567,PANW,Palo Alto Networks Inc,,tech,https://www.sec.gov//Archives/edgar/data/1327567/000132756722000028/0001327567-22-000028-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/1327567/000132756722000028/panw-20220731.htm,,,,,,,,"1,013.40","1,013.40",,"1,013.40",926.9,664.5,,low,low,-28.9,-28.9,,-28.9,-7.3,-15.2,-267,-267,,-267,-499,-267,-380
Regeneron Pharmaceuticals,96,95,95,Regeneron Pharmaceuticals,absent,$78.75 B,$717.83,872589,REGN,"REGENERON PHARMACEUTICALS, INC.",,tech,https://www.sec.gov//Archives/edgar/data/872589/000180422023000008/0001804220-23-000008-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/872589/000180422023000008/regn-20221231.htm,,,,,,,,725,725,,725,601.7,432,,above_ten,above_ten,10.7,10.7,,10.7,13.4,7.80,"4,338.40","4,338.40",,"4,338.40","8,075.30","3,513.20",17
Zoetis,97,96,96,Zoetis,absent,$78.25 B,$169.35,1555280,ZTS,Zoetis Inc.,,non_tech,https://www.sec.gov//Archives/edgar/data/1555280/000155528023000074/0001555280-23-000074-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/1555280/000155528023000074/zts-20221231.htm,0,-8,,-8,-7,-7,,62,62,,62,58,59,,above_ten,above_ten,20.5,20.5,,20.5,18.2,18,"2,114","2,114",,"2,114","2,037","1,638",3
Southern Company,98,97,97,Southern Company,absent,$78.15 B,$71.68,72971,WFC,WELLS FARGO & COMPANY/MN,,non_tech,,https://www.sec.gov/ix?doc=/Archives/edgar/data/72971/000007297123000071/wfc-20221231.htm,,,,,,,,,unclear,,unclear,unclear,unclear,,,,,unclear,,unclear,unclear,unclear,,unclear,,unclear,unclear,unclear,
Fiserv,99,98,98,Fiserv,absent,$77.10 B,$124.90,798354,FI,FISERV INC,,tech,https://www.sec.gov//Archives/edgar/data/798354/000079835423000004/0000798354-23-000004-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/798354/000079835423000004/fisv-20221231.htm,,,,,,,,323,323,,323,239,369,,above_ten,above_ten,18.9,18.9,,18.9,21.8,17,"2,582","2,582",,"2,582","1,403",975,13
Progressive,100,99,99,Progressive,absent,$76.93 B,$131.43,80661,PGR,PROGRESSIVE CORP/OH/,,non_tech,https://www.sec.gov//Archives/edgar/data/80661/000008066123000006/0000080661-23-000006-index.htm,https://www.sec.gov//ix?doc=/Archives/edgar/data/80661/000008066123000006/pgr-20221231.htm,,,,,,,,,unclear,,unclear,unclear,unclear,,,,,unclear,,unclear,unclear,unclear,721.5,721.5,,721.50,"3,350.90","5,704.60",
